SKU,Name,Published,Visibility in catalog,Images,Type,Categories,meta:data,meta:text,meta:minutes,meta:upfront_cost,meta:monthly_cost,meta:provider_name,meta:provider_logo,meta:payment_link,meta:contract_period
1977,5976,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,50GB,Unlimited,Unlimited,0,36.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1978,5977,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,100GB,Unlimited,Unlimited,0,38.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1979,5978,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,Unlimited,Unlimited,Unlimited,0,50.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1980,5979,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,2GB,Unlimited,Unlimited,0,46.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1981,5980,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,6GB,Unlimited,Unlimited,0,47.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1982,5981,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,15GB,Unlimited,Unlimited,0,48.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1983,5982,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,50GB,Unlimited,Unlimited,0,49.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1984,5983,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,100GB,Unlimited,Unlimited,0,51.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1985,5984,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,Unlimited,Unlimited,Unlimited,0,63.25,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,24 Months
1986,5985,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,2GB,Unlimited,Unlimited,0,36.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1987,5986,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,6GB,Unlimited,Unlimited,0,37.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1988,5987,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,15GB,Unlimited,Unlimited,0,38.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1989,5988,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,50GB,Unlimited,Unlimited,0,39.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1990,5989,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,100GB,Unlimited,Unlimited,0,41.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
1991,5990,1,visible,https://sparksimandphones.co.uk/wp-content/uploads/2023/04/iphone-14-5gb.png,Simple,Apple > Apple Iphone 14 Plus 5G,Unlimited,Unlimited,Unlimited,0,53.5,Virgin,724,https://www.virginmedia.com/mobile/pay-monthly,36 Months
